"","rocketType","country","family","numberOfLaunches","numberOfFailures"
"1","Aerobee","USA","Aerobee",1,0
"2","Angara A5","Russia/USSR","Angara",1,0
"3","Antares 110","USA","Antares",2,0
"4","Antares 120","USA","Antares",2,0
"5","Antares 130","USA","Antares",1,1
"6","Antares 230","USA","Antares",5,0
"7","Antares 230+","USA","Antares",3,0
"8","Ariane 1","Europe","Ariane",11,2
"9","Ariane 2","Europe","Ariane",6,1
"10","Ariane 3","Europe","Ariane",11,1
"11","Ariane 40","Europe","Ariane",7,0
"12","Ariane 42L","Europe","Ariane",13,0
"13","Ariane 42P","Europe","Ariane",15,1
"14","Ariane 44L","Europe","Ariane",40,1
"15","Ariane 44LP","Europe","Ariane",26,1
"16","Ariane 44P","Europe","Ariane",15,0
"17","Ariane 5ECA","Europe","Ariane",72,1
"18","Ariane 5ECA+","Europe","Ariane",4,0
"19","Ariane 5ES","Europe","Ariane",3,0
"20","Ariane 5ES/ATV","Europe","Ariane",5,0
"21","Ariane 5G","Europe","Ariane",16,3
"22","Ariane 5G+","Europe","Ariane",3,0
"23","Ariane 5GS","Europe","Ariane",6,0
"24","ARPA Taurus","USA","ARPA",2,0
"25","Athena-2","USA","Athena",2,1
"26","Atlas 3A","USA","Atlas",2,0
"27","Atlas 3B","USA","Atlas",4,0
"28","Atlas Able","USA","Atlas",3,3
"29","Atlas Agena A","USA","Atlas",4,2
"30","Atlas Agena B","USA","Atlas",28,5
"31","Atlas Agena D","USA","Atlas",15,0
"32","Atlas B","USA","Atlas",1,0
"33","Atlas Burner 2","USA","Atlas",2,1
"34","Atlas Centaur","USA","Atlas",4,2
"35","Atlas Centaur D","USA","Atlas",7,0
"36","Atlas D","USA","Atlas",16,4
"37","Atlas E","USA","Atlas",15,0
"38","Atlas E Altair","USA","Atlas",1,0
"39","Atlas E/MSD","USA","Atlas",1,1
"40","Atlas E/OIS","USA","Atlas",1,0
"41","Atlas E/SGS-2","USA","Atlas",4,0
"42","Atlas E/SVS","USA","Atlas",1,1
"43","Atlas F","USA","Atlas",9,1
"44","Atlas F/Agena D","USA","Atlas",1,0
"45","Atlas F/MSD","USA","Atlas",3,0
"46","Atlas F/OIS","USA","Atlas",1,0
"47","Atlas F/PTS","USA","Atlas",1,0
"48","Atlas F/SVS","USA","Atlas",7,0
